Niepubliczne placówki prowadzące wczesne wspomaganie rozwoju dziecka dotowane przez m. st. Warszawa stan na 2019-09-01,,,
,,,
Lp.,Nazwa szkoły/placówki,Dzielnica,Adres
25,Przedszkola Pomarańczowa Ciuchcia Sp. z o. o. Spółka Komandytowa,Bielany,"Bajana 35, 01-904 Warszawa"
26,"Niepubliczny Terapeutyczny Punkt Przedszkolny ""Pastelowa Układanka""",Bielany,"Farysa 57, 01-971 Warszawa"
27,"Punkt Przedszkolny ""Bluebees - Akademia dla Dzieci z Autyzmem""",Bielany,"Anny Jagiellonki 2a, 01-989 Warszawa"
28,Niepubliczna Specjalna Szkoła Podstawowa dla Dzieci z Autyzmem W kontakcie,Biuro Edukacji,"Karolkowa 62, 01-193 Warszawa"
29,"Niepubliczna Szkoła Podstawowa z Oddziałami Przedszkolnymi Realizująca Program Rehabilitacji ""Nasza Szkoła""",Biuro Edukacji,"Broniewskiego 89, 01-876 Warszawa"
30,Szkoła Podstawowa Niepubliczna przy Fundacji Pomocy Ludziom z Niepełnosprawnościami,Biuro Edukacji,"Bronowska 18, 03-995 Warszawa"
31,Ośrodek Rehabilitacyjno-Edukacyjno-Wychowawczy,Biuro Edukacji,"Krasińskiego  41A, 01-755 Warszawa"
32,"""AD VERBUM"" Centrum Terapii Mowy i Dysleksji",Biuro Edukacji,"Pileckiego 104/1, 02-781 Warszawa"
33,"""PERCEPCJA"" - Niepubliczna Poradnia Psychologiczno-Pedagogiczna",Biuro Edukacji,"Patriotów 179, 04-881 Warszawa"
34,ASYSTA Poradnia Psychologiczno-Pedagogiczna Katarzyna Osak,Biuro Edukacji,"T.Duracza 6/U3, 01-892 Warszawa"
35,"Niepubliczna Poradnia Psychologiczno-Pedagogiczna ""Centrum Promyk""",Biuro Edukacji,"Puławska 479/5, 02-844 Warszawa"
36,"Niepubliczna Poradnia Psychologiczno-Pedagogiczna ""KAR-MEL""",Biuro Edukacji,"Belgradzka 4/U2, 02-793 Warszawa"
37,"Niepubliczna Poradnia Psychologiczno-Pedagogiczna ""Konwaliowa""",Biuro Edukacji,"Kowalczyka 1A, 03-193 Warszawa"
38,"Niepubliczna Poradnia Psychologiczno-Pedagogiczna ""Niebieska Sprężynka""",Biuro Edukacji,"Batalionów Chłopskich 87/u8, 01-307 Warszawa"
39,"Niepubliczna Poradnia Psychologiczno-Pedagogiczna ""Spokojna Główka""",Biuro Edukacji,"Grochowska 235/1, 04-001 Warszawa"
40,"Niepubliczna Poradnia Psychologiczno-Pedagogiczna ""Tacy Sami""",Biuro Edukacji,"Pogodna 27, 05-077 Warszawa"
41,"Niepubliczna Poradnia Psychologiczno-Pedagogiczna ""ZIELONY BALONIK""",Biuro Edukacji,"Białostocka 10/18, 03-741 Warszawa"
42,Niepubliczna Poradnia Psychologiczno-Pedagogiczna Centrum Edukacyjno-Terapeutyczne Heiwa,Biuro Edukacji,"Wiewiórki 1, 03-645 Warszawa"
43,Niepubliczna Poradnia Psychologiczno-Pedagogiczna Centrum Terapii PROMITIS,Biuro Edukacji,"Garibaldiego 4/2P, 04-078 Warszawa"
44,Niepubliczna Poradnia Psychologiczno-Pedagogiczna Centrum Terapii PROMITIS,Biuro Edukacji,"Poborzańska 8/lok. U1, 03-368 Warszawa"
45,Niepubliczna Poradnia Psychologiczno-Pedagogiczna EduHit,Biuro Edukacji,"Wąwolnicka 4/U-2, 04-023 Warszawa"
46,Niepubliczna Poradnia Psychologiczno-Pedagogiczna MISIEK,Biuro Edukacji,"Arctowskiego  28/U-1, 02-784 Warszawa"
47,Niepubliczna Poradnia Psychologiczno-Pedagogiczna Przystań Szkraba,Biuro Edukacji,"Dzielna 5, 00-162 Warszawa"
48,Niepubliczna Poradnia Wczesnego Wspomagania Rozwoju,Biuro Edukacji,"Pilicka 21, 02-613 Warszawa"
49,"Niepubliczna Specjalistyczna Poradnia Psychologiczno-Pedagogiczna ""Sokołowska""",Biuro Edukacji,"Sokołowska 4, 01-136 Warszawa"
50,Poradnia Psychologiczno - Pedagogiczno - Rehabilitacyjna w Wesołej,Biuro Edukacji,"Kruszyny 28, 05-077 Warszawa"
51,Poradnia Psychologiczno-Pedagogiczna Towarzystwa Przyjaciół Dzieci,Biuro Edukacji,"Hafciarska 80/86, 04-725 Warszawa"
52,Specjalistyczna Poradnia Małego Dziecka IWE,Biuro Edukacji,"Regulska 86, 02-495 Warszawa"
53,"Integracyjne Przedszkole Niepubliczne ""Małe Misie""",Mokotów,"Madalińskiego 39/43, 02-549 Warszawa"
54,"Niepubliczne Europejskie Przedszkole Ekologiczne ""Baby City",Mokotów,"Zielona  42, 02-913 Warszawa"
55,Niezapominajka-Przedszkole Niepubliczne,Mokotów,"Wołodyjowskiego  36A, 02-724 Warszawa"
56,"Przedszkole Niepubliczne ""Chatka Małolatka""",Mokotów,"Orężna  45, 02-937 Warszawa"
57,"Niepubliczne Przedszkole Specjalne ""Zielony Latawiec II""",Mokotów,"Powsińska 56, 02-903 Warszawa"
58,"Niepubliczne Przedszkole Integracyjne ""OMEGA""",Mokotów,"Grupy AK ""Północ"" 2, 00-713 Warszawa"
59,"Niepubliczny Integracyjny Punkt Przedszkolny ""Bałabajka""",Mokotów,"Akermańska 3, 02-760 Warszawa"
60,"Punkt Przedszkolny ""Ósmy Krasnal""",Mokotów,"Różana 61, 02-569 Warszawa"
61,"Punkt Przedszkolny ""Różany Ogródek""",Mokotów,"M. Karłowicza 11, 02-501 Warszawa"
62,Punkt Przedszkolny Fundacji Autismo,Mokotów,"Zielona 30, 02-913 Warszawa"
63,Pierwsze Niepubliczne Przedszkole Terapeutyczne Fundacji Synapsis,Ochota,"Siemieńskiego 21, 02-106 Warszawa"
64,"Przedszkole Niepubliczne ""Motylek 3""",Ochota,"Usypiskowa 3A, 02-386 Warszawa"
65,"Przedszkole Niepubliczne ""Motylek II""",Ochota,"Włodarzewska 71, 02-384 Warszawa"
66,"Przedszkole Niepubliczne Specjalne ""Tęcza""",Ochota,"Kopińska  6/10, 02-321 Warszawa"
67,"Przedszkole  ""Ala ma kota""",Ochota,"Altowa 5, 02-386 Warszawa"
68,"Terapeutyczny Punkt Przedszkolny ""Małe Kajtki""",Ochota,"Włodarzewska 65D, 02-384 Warszawa"
69,"Terapeutyczny Punkt Przedszkolny ""Mówi Się""",Ochota,"Al. Jerozolimskie 133/001, 02-304 Warszawa"
70,Niepubliczne Przedszkole Integracyjne Kolorowe Kredki,Praga Południe,"Grochowska 200, 04-357 Warszawa"
71,Niepubliczny Punkt Przedszkolny WYSPA UŚMIECHU,Praga Południe,"Rogalskiego  8, 03-982 Warszawa"
72,"Punkt Przedszkolny ""Klubik Integracyjny""",Praga Południe,"Międzynarodowa 47A, 03-922 Warszawa"
73,"Przedszkole Niepubliczne ""Kubuś Puchatek i Przyjaciele""",Rembertów,"Kordiana  71B, 04-418 Warszawa"
74,"Przedszkole Niepubliczne ""U Kubusia Puchatka""",Rembertów,"Bombardierów 13, 04-416 Warszawa"
75,Przedszkole Niepubliczne Zgromadzenia Sióstr Urszulanek SJK im. Św. Urszuli Ledóchowskiej,Śródmieście,"Wiślana  2, 00-317 Warszawa"
76,"Niepubliczne Przedszkole Specjalne ""Zielony Latawiec""",Śródmieście,"Czerniakowska 161, 00-453 Warszawa"
77,"Przedszkole ""Ala ma kota""",Śródmieście,"Inflancka 4c, 00-189 Warszawa"
78,Akademia Maluchów-Zacisze Niepubliczne Anglojęzyczne Przedszkole Integracyjne,Targówek,"Wiewiórki 1, 03-645 Warszawa"
79,"Integracyjne Przedszkole Niepubliczne ""Kids World""",Targówek,"Wyborna 4, 03-681 Warszawa"
80,"Integracyjne Przedszkole Niepubliczne ""Tęczowy Kącik""",Targówek,"Lewinowska 30, 03-684 Warszawa"
81,Integracyjne Przedszkole Tukan,Targówek,"Porannej Bryzy 19, 03-284 Warszawa"
82,Niepubliczny Terapeutyczny Punkt Przedszkolny Kids World,Targówek,"Tużycka 8, 03-683 Warszawa"
83,"Terapeutyczny Punkt Przedszkolny ""LOGOS""",Targówek,"św. Wincentego 114/u5, 03-921 Warszawa"
84,"Terapeutyczny Punkt Przedszkolny ""Mały Człowiek""",Targówek,"Łasińska 7, 03-646 Warszawa"
85,Publiczne Przedszkole Integracyjne nr 22 Zgromadzenia Sióstr Misjonarek Apostolstwa Katolickiego,Targówek,"Wolbromska 31, 03-680 Warszawa"
86,"Niepubliczne Przedszkole ""Bajeczka""",Ursus,"Prawnicza 29, 02-495 Warszawa"
87,"Niepubliczne przedszkole ""Leśna Kraina""",Ursus,"Baranowska 14, 02-495 Warszawa"
88,Niepubliczne Przedszkole Qbuś,Ursus,"Sosnkowskiego 32, 02-495 Warszawa"
89,"Przedszkole Niepubliczne ""EDU SZKRABY""",Ursus,"H. Opieńskiego 1, 02-495 Warszawa"
90,"""Małe Przedszkole"" Niepubliczne Przedszkole Integracyjne",Ursus,"Apartamentowa 12a, 02-495 Warszawa"
91,"Integracyjne Niepubliczne Przedszkole Montessori ""Elipsoida""",Ursus,"Cierlicka 19, 02-495 Warszawa"
92,"Przedszkole Integracyjne ""Domek Przedszkolaka""",Ursus,"Nowotyska 11, 02-495 Warszawa"
93,Publiczne Przedszkole Klub Malucha Siódme Niebo,Ursus,"Orłów Piastowskich 56, 02-496 Warszawa"
94,Publiczne Przedszkole Biedroneczka,Ursus,"Rynkowa 6, 02-495 Warszawa"
95,Zaczarowana Pozytywka Przedszkole Niepubliczne,Ursynów,"Pozytywki 18, 02-881 Warszawa"
96,Chrześcijańskie Przedszkole Daniel,Ursynów,"Nowoursynowska 154a, 02-797 Warszawa"
97,Integracyjne Przedszkole Niepubliczne Małe Misie nr 2,Ursynów,"Hawajska 3, 02-776 Warszawa"
98,"Niepubliczne Integracyjne Przedszkole ""Wolne Przedszkole""",Ursynów,"Żołny  24F, 02-815 Warszawa"
99,Niepubliczne Przedszkole  Babaloo ,Ursynów,"Sarabandy 28, 02-868 Warszawa"
100,"Niepubliczne Przedszkole Integracyjne ""Zielony Latawiec II""",Ursynów,"Dunikowskiego  9, 02-784 Warszawa"
101,"Przedszkole  ""Ala ma kota""",Ursynów,"Żołny 63A,  Warszawa"
102,"Przedszkole ""Ala ma kota""",Ursynów,"Pistacjowa 16,  Warszawa"
103,Przedszkole Szumi Szum,Ursynów,"Relaksowa 33/u1, 02-976 Warszawa"
104,"Niepubliczny Punkt Przedszkolny ""Effectis""",Ursynów,"Pod lipą 1/2, 02-798 Warszawa"
105,"Punkt Przedszkolny ""SOTIS"" Ursynów",Ursynów,"Kazimierza Sotta ""Sokoła"" 1A/5A, 02-790 Warszawa"
106,"Punkt Przedszkolny ""Tęczowy Zakątek""",Ursynów,"Przybylskiego 11, 02-777 Warszawa"
107," Niepubliczne Integracyjne Przedszkole ""Aniołkowo"" ",Wawer,"Nenufarów 4, 04-958 Warszawa"
108,"Przedszkole ""Ala ma kota""",Wawer,"Bronowska  32, 03-995 Warszawa"
109,Punkt Przedszkolny Radosne Lata,Wawer,"Minerska 54, 04-506 Warszawa"
110,Językowe Przedszkole LIMONKA,Wesoła,"Warszawska 57, 05-075 Warszawa"
111,"Niepubliczne Przedszkole ""Robuś""",Wesoła,"Magnolii 6, 05-077 Warszawa"
112,"Niepubliczne Przedszkole Językowo-Artystyczne ""Leśne Skrzaty""",Wesoła,"Al. marsz. Józefa Piłsudskiego 4c, 05-077 Warszawa"
113,"Przedszkole ""abc""",Wesoła,"Wspólna 35, 05-075 Warszawa"
114,Przedszkole Jaskinia Talentów,Wesoła,"gen. W. Sikorskiego 92, 05-075 Warszawa"
115,Polsko-Angielskie Przedszkole Artystyczne Magic Fish,Wilanów,"Królewicza Jakuba 71, 02-956 Warszawa"
116,Przedszkole Niepubliczne Beztroski Świat,Wilanów,"Wiertnicza 36a, 02-952 Warszawa"
117,"""Wilanowskie Przedszkole""",Wilanów,"Sarmacka 1A/lok. 2,  Warszawa"
118,Niepubliczne Integracyjne Przedszkole Bałabajka,Wilanów,"Wiertnicza 83, 02-952 Warszawa"
119,"Przedszkole  ""Ala ma kota""",Wilanów,"Bruzdowa 95G, 02-991 Warszawa"
120,"Przedszkole ""Ala ma Kota""",Wilanów,"F. Klimczaka 1, 02-797 Warszawa"
121,Przedszkole Niepubliczne Hero!Academy,Wilanów,"Branickiego 16, 02-972 Warszawa"
122,Krok Po Kroku - Terapeutyczny Punkt Przedszkolny,Wilanów,"Zaściankowa 92/1 i 1A, 02-989 Warszawa"
123,Niepubliczny Punkt Przedszkolny SCOLAR,Wilanów,"Kubickiego 9/2, 02-954 Warszawa"
124,"Punkt przedszkolny ""Zielony Latawiec""",Wilanów,"Rumiana 14, 02-956 Warszawa"
125,"Terapeutyczny Punkt Przedszkolny ""Szczęśliwe Dzieci""",Wilanów,"Królowej Marysieńki 104, 02-954 Warszawa"
126,Przedszkole Terapeutyczne Mądre Główki,Włochy,"Naukowa  35 A, 02-463 Warszawa"
127," Niepubliczne Przedszkole Integracyjne ""Mini Misie""",Włochy,"Mikołajska 30, 02-455 Warszawa"
128,Integracyjne Niepubliczne Przedszkole Montessori Elipsoida,Włochy,"W. Żeleńskiego 5, 02-403 Warszawa"
129,Integracyjne Przedszkole Mądre Główki,Włochy,"Jutrzenki 146, 02-230 Warszawa"
130,Integracyjna Podstawowa Szkoła Montessori Elipsoida,Włochy,"W. Żeleńskiego 3, 02-403 Warszawa"
131,"Integracyjne Przedszkole Niepubliczne Językowo-Muzyczne ""Czarodziejski Dworek"".",Wola,"Górczewska 89, 01-401 Warszawa"
132,"Niepubliczny Terapeutyczny Punkt Przedszkolny ""TIK TAK"" im. o. Leona Zdzisława Pokorskiego OFM",Wola,"Radziwie 7/U04, 01-164 Warszawa"
133,"Punkt Przedszkolny ""SOTIS""",Żoliborz,"Gdańska 2/24, 01-633 Warszawa"
