Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""",długość geograficzna,szerokość geograficzna,Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE)
_MOSOC_03,_MOSOC_03_SP_39,010385699,001073521,14213,105293,"Młodzieżowy Ośrodek Socjoterapii nr 3 ""Dom na Trakcie"" im. prof. dr Stanisława Jedlewskiego",Szkoła Podstawowa Specjalna nr 39,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Nadwiśle,Trakt Lubelski,40,04-870,Małgorzata,Jaroń,228729367,228729367,http://domnatrakcie.pl,http://www.domnatrakcie.pl/bip.html,sekretariat@domnatrakcie.pl,39,tak,jednostka budżetowa,38,,38,4,,4,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,tak,,https://rspo.men.gov.pl/rspo/105293,,Poradnia Psychologiczno-Pedagogiczna nr 17,zagrożeni niedostosowaniem społecznym,,"21,15314484","52,17691518",,,442
_MOSOC_06,_MOSOC_06_BSI_67,000254516,367990202,14270,196266,Młodzieżowy Ośrodek Socjoterapii nr 6,Branżowa Szkoła I stopnia Specjalna nr 67 im. Macieja Kozłowskiego,zespół lub jednostka złożona,szkoła branżowa I stopnia,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wola,Koło,ul. Jana Brożka,26,01-451,Sławomir,Kubicz,228367873,228367873,http://www.mos6.edu.pl,http://mos6.bip.um.warszawa.pl,sekretariat.mos6@edu.um.warszawa.pl,67,tak,jednostka budżetowa,39,,39,5,,5,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-BSI-,tak,tak,tak,,tak,,,tak,,tak,,https://rspo.men.gov.pl/rspo/196266,,Poradnia Psychologiczno-Pedagogiczna nr 2,zagrożeni niedostosowaniem społecznym,,"20,9374485","52,24159359", certyfikat Wars i Sawa,,2555
_MOSOC_06,_MOSOC_06_SP_331,000254516,016846345,14270,105297,Młodzieżowy Ośrodek Socjoterapii nr 6,Szkoła Podstawowa Specjalna nr 331,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wola,Koło,ul. Jana Brożka,26,01-451,Sławomir,Kubicz,228367873,228367873,http://www.mos6.edu.pl,http://mos6.bip.um.warszawa.pl,sekretariat.mos6@edu.um.warszawa.pl,331,tak,jednostka budżetowa,36,,36,4,,4,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-BSI-,tak,tak,tak,,tak,,,tak,,tak,,https://rspo.men.gov.pl/rspo/105297,,Poradnia Psychologiczno-Pedagogiczna nr 2,zagrożeni niedostosowaniem społecznym,,"20,9374485","52,24159359",,,168
_MOSOC_07,_MOSOC_07_BSI_63,141099160,142521453,14297,105300,Młodzieżowy Ośrodek Socjoterapii nr 7,Branżowa Szkoła I stopnia Specjalna nr 63,zespół lub jednostka złożona,szkoła branżowa I stopnia,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Praga Południe,Grochów,ul. Osowska,81,04-351,Krzysztof,Gorczyca,225169820,225169830,http://www.mos7.edu.pl,http://most7.bip.um.warszawa.pl,mos7@mos7.edu.pl,63,tak,jednostka budżetowa,33,,33,8,,8,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-BSI-,tak,tak,tak,,tak,,,tak,,tak,,https://rspo.men.gov.pl/rspo/105300,,Poradnia Psychologiczno – Pedagogiczna nr 16,zagrożeni niedostosowaniem społecznym,,"21,09402847","52,2465719",,,1096
_MOSOC_07,_MOSOC_07_SP_348,141099160,141102228,14297,105299,Młodzieżowy Ośrodek Socjoterapii nr 7,Szkoła Podstawowa Specjalna nr 348,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Praga Południe,Grochów,ul. Osowska,81,04-351,Krzysztof,Gorczyca,225169820,225169830,http://www.mos7.edu.pl,http://most7.bip.um.warszawa.pl,mos7@mos7.edu.pl,348,tak,jednostka budżetowa,41,,41,5,,5,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-BSI-,tak,tak,tak,,tak,,,tak,,tak,,https://rspo.men.gov.pl/rspo/105299,,Poradnia Psychologiczno – Pedagogiczna nr 16,niedostosowani społecznie,,"21,09402847","52,2465719",,,1094
_MOSOC_08,_MOSOC_08_SP_349,141542393,141542430,14315,105302,Młodzieżowy Ośrodek Socjoterapii nr 8,Szkoła Podstawowa Specjalna nr 349,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Radość,ul. Podmokła,4,04-819,Beata,Kuchniewska,226152750,226155708,http://www.mos8.radosc.edu.pl,http://mos8.bip.um.warszawa.pl,sekretariat.mos8@radosc.edu.pl,349,tak,jednostka budżetowa,37,,37,4,,4,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,tak,,https://rspo.men.gov.pl/rspo/105302,,Poradnia Psychologiczno-Pedagogiczna nr 17,niedostosowani społecznie,,"21,22564507","52,18676112",,,1107
_MOW_02,_MOW_02_SP_131,000959122,000967498,14321,105304,Młodzieżowy Ośrodek Wychowawczy nr 2,Szkoła Podstawowa Specjalna nr 131,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Rembertów,Kawęczyn-Wygoda,ul. Strażacka,57,04-462,Monika,Zdrzyłowska,226735094,226734829,http://www.mowstrazacka.com,http://mow2.bip.um.warszawa.pl,mowstrazacka@mowstrazacka.com,131,tak,jednostka budżetowa,11,,11,3,,3,nie,nie,nie,nie,nie,nie,tak,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,tak,,https://rspo.men.gov.pl/rspo/105304,,Poradnia Psychologiczno-Pedagogiczna nr 23,niedostosowani społecznie,,"21,13239288","52,25943169",,,372
_MOW_03,_MOW_03_SP_137,000959010,000967481,14352,105306,Młodzieżowy Ośrodek Wychowawczy nr 3 im. Dr Grzegorza Maja,Szkoła Podstawowa Specjalna nr 137,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Miedzeszyn,ul. Patriotów,90,04-844,Renata,Chwedoruk,228729297,228729297,http://mow3.waw.pl,http://mow3.bip.um.warszawa.pl,mow3@mow3.waw.pl,137,tak,jednostka budżetowa,24,,24,4,,4,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,tak,,https://rspo.men.gov.pl/rspo/105306,,Poradnia Psychologiczno-Pedagogiczna nr 17,niedostosowani społecznie,,"21,20306778","52,17073526",,,369
_MOW_04,_MOW_04_SP_201,000230042,000959725,14449,105308,Młodzieżowy Ośrodek Wychowawczy nr 4,Szkoła Podstawowa Specjalna nr 201,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Mokotów,Sielce,ul. Dolna,19,00-773,Mariusz,Sztyk,228412534,228402868,http://www.mowdolna.pl,http://mow4.bip.um.warszawa.pl,mow4@edu.um.warszawa.pl,201,tak,jednostka budżetowa,11,,11,3,,3,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,tak,,https://rspo.men.gov.pl/rspo/105308,,Poradnia Psychologiczno-Pedagogiczna nr 8,niedostosowani społecznie,,"21,03029633","52,20065564",,,155
_O_GR,_O_GR,200401046,200401046,86892,86892,"POZASZKOLNA PLACÓWKA SPECJALISTYCZNA - MŁODZIEŻOWY OŚRODEK EDUKACYJNO – WYPOCZYNKOWY ""ZATOKA UKLEI"" W GAWRYCH RUDZIE","POZASZKOLNA PLACÓWKA SPECJALISTYCZNA - MŁODZIEŻOWY OŚRODEK EDUKACYJNO – WYPOCZYNKOWY ""ZATOKA UKLEI"" W GAWRYCH RUDZIE",pozaszkolna placówka specjalistyczna,pozaszkolna placówka specjalistyczna,bez kategorii,nie,Biuro Edukacji,Suwałki,poza Warszawą,,Gawrych Ruda,,16-402,Celina,Sawicka,875639470,875639470,http://gawrychruda.pl,http://www.gawrychruda.pl/bip,biuro@gawrychruda.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/86892,,,,,,,,,94
_O_KD,_O_KD,060700618,060700618,86895,86895,"POZASZKOLNA PLACÓWKA SPECJALISTYCZNA - OŚRODEK OŚWIATOWO – SZKOLENIOWY ""ARKADIA""
W KAZIMIERZU DOLNYM","POZASZKOLNA PLACÓWKA SPECJALISTYCZNA - OŚRODEK OŚWIATOWO – SZKOLENIOWY ""ARKADIA""
W KAZIMIERZU DOLNYM",pozaszkolna placówka specjalistyczna,pozaszkolna placówka specjalistyczna,bez kategorii,nie,Biuro Edukacji,Kazimierz Dolny,poza Warszawą,,Czerniawy,1,24-120,Sylwia,Sochacka,818810074,818810075,http://www.oosarkadia.pl,http://oosarkadia.bip.um.warszawa.pl,oosarkadia@wp.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/86895,,,,,,,,,401
_O_MA,_O_MA,280565067,280565067,87041,87041,"Pozaszkolna Placówka Specjalistyczna – Szkolny Ośrodek Wypoczynkowy ""Syrenka"" w Marózie","Pozaszkolna Placówka Specjalistyczna – Szkolny Ośrodek Wypoczynkowy ""Syrenka"" w Marózie",pozaszkolna placówka specjalistyczna,pozaszkolna placówka specjalistyczna,bez kategorii,nie,Biuro Edukacji,Olsztynek,poza Warszawą,,Maróz,5,11-015,Kamil,Halicki,895139215,895190611,http://OSRODEKSYRENKA.PL,http://sowsyrenka.bip.um.warszawa.pl,biuro@osrodeksyrenka.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/87041,,,,,,,,,1111
_O_MI,_O_MI,320932575,320932575,92289,92289,"Pozaszkolna Placówka Specjalistyczna – Ośrodek Rehabilitacyjno – Wypoczynkowy ""Syrena"" w Mielnie","Pozaszkolna Placówka Specjalistyczna – Ośrodek Rehabilitacyjno – Wypoczynkowy ""Syrena"" w Mielnie",pozaszkolna placówka specjalistyczna,pozaszkolna placówka specjalistyczna,bez kategorii,nie,Biuro Edukacji,Mielno,poza Warszawą,,Piastów,10,76-032,Waldemar,Andrzejewski,943166450,943166451,http://www.syrena.ta.pl,http://www.syrena.ta.pl/bip.html,syrena_mielno@interia.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/92289,,,,,,,,,1110
_O_OG,_O_OG,121392064,121392064,92130,92130,"Pozaszkolna Placówka Specjalistyczna – Szkolny Ośrodek Wypoczynkowy ""Orle Gniazdo"" w Sromowcach Wyżnych","Pozaszkolna Placówka Specjalistyczna – Szkolny Ośrodek Wypoczynkowy ""Orle Gniazdo"" w Sromowcach Wyżnych",pozaszkolna placówka specjalistyczna,pozaszkolna placówka specjalistyczna,bez kategorii,nie,Biuro Edukacji,Sromowce,poza Warszawą,,Nad Zalew,7,34-443,Grażyna,Iber-Wojtanek,182629788,182629788,http://www.orlegniazdo.eu,http://www.orlegniazdo.eu/bip,biuroorlegniazdo@op.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/92130,,,,,,,,,170
_OSW_08,_OSW_08_BSI_62,000184448,142617288,14582,105313,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,Branżowa Szkoła I stopnia Specjalna nr 62,zespół lub jednostka złożona,szkoła branżowa I stopnia,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Solec,ul. Koźmińska,7,00-448,Beata,Kotowska,226291610,226216844,http://www.kozminska.edu.pl,http://sosw8.bip.um.warszawa.pl,sekretariat@kozminska.edu.pl,62,tak,jednostka budżetowa,14,,14,3,,3,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-LO-BSI-,tak,tak,tak,,tak,tak,,tak,,tak,,https://rspo.men.gov.pl/rspo/105313,,Poradnia Psychologiczno-Pedagogiczna nr 1,słabowidzący,,"21,03704071","52,22477378",,,66
_OSW_08,_OSW_08_LO_136,000184448,141570165,14582,105309,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,CXXXVI Liceum Ogólnokształcące Specjalne,zespół lub jednostka złożona,liceum ogólnokształcące,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Solec,ul. Koźmińska,7,00-448,Beata,Kotowska,226291610,226216844,http://www.kozminska.edu.pl,http://sosw8.bip.um.warszawa.pl,sekretariat@kozminska.edu.pl,136,tak,jednostka budżetowa,24,,24,4,,4,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-LO-BSI-,tak,tak,tak,,tak,tak,,tak,,tak,,https://rspo.men.gov.pl/rspo/105309,,Poradnia Psychologiczno-Pedagogiczna nr 1,słabowidzący,,"21,03704071","52,22477378",,,62
_OSW_08,_OSW_08_SP_51,000184448,015847816,14582,105312,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,Szkoła Podstawowa Specjalna nr 51,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Solec,ul. Koźmińska,7,00-448,Beata,Kotowska,226291610,226216844,http://www.kozminska.edu.pl,http://sosw8.bip.um.warszawa.pl,sekretariat@kozminska.edu.pl,51,tak,jednostka budżetowa,79,,79,15,,15,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-LO-BSI-,tak,tak,tak,,tak,tak,,tak,,tak,,https://rspo.men.gov.pl/rspo/105312,,Poradnia Psychologiczno-Pedagogiczna nr 1,słabowidzący,,"21,03704071","52,22477378",,,63
_OSW_15,_OSW_15_P_343,000193571,015851781,14620,105315,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabosłyszących nr 15 im. Ottona Lipkowskiego,Przedszkole Specjalne nr 343,zespół lub jednostka złożona,przedszkole,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Nowe Miasto,ul. Zakroczymska,6,00-225,Małgorzata,Jastrzębska,228313200,228313209,https://osw15warszawa.edupage.org/,http://sosw15.bip.um.warszawa.pl,sekretariat.sosw15@edu.um.warszawa.pl,343,tak,jednostka budżetowa,0,21,21,0,4,4,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,przedszkole,tak,P-SP-,tak,tak,,tak,tak,,,,,tak,,https://rspo.men.gov.pl/rspo/105315,,Poradnia Psychologiczno-Pedagogiczna nr 12,niesłyszący i słabosłyszący,,"21,00673485","52,25435513",,,133
